sample_id,image_path,split,h2s_concentration_ppm,lighting_type,preprocessing_method,rgb_r_mean,rgb_g_mean,rgb_b_mean,rgb_r_std,rgb_g_std,rgb_b_std,hsv_h_mean,hsv_s_mean,hsv_v_mean,hsv_h_std,hsv_s_std,hsv_v_std,lab_l_mean,lab_a_mean,lab_b_mean,lab_l_std,lab_a_std,lab_b_std,norm_r,norm_g,norm_b,norm_lab_l,norm_lab_a,norm_lab_b,delta_e,ref_patch_delta_e,brightness_mean,brightness_std,blur_score,temperature_c,humidity_pct,exposure_duration_min
H2S-2026-0061,images/train/H2S-2026-0061_30ppm_daylight.png,train,30.0,daylight,card_warp,147.11330115312416,159.46735049611155,153.5551756503084,74.6374802232783,71.8675170296121,52.933293878817764,77.56529900777689,45.670555108608205,165.2235854116385,30.779559697479904,11.535408161206666,67.58085219728822,63.56579853716761,-4.787878787878788,0.8000134084204881,26.621908772197493,2.6524179591632513,10.200327975199803,0.7144340825953871,0.76080288205757,0.7289624021987406,0.7666962649391524,-3.934665280253518,1.947344563104584,30.794342632895457,32.50998398198519,155.3452668275677,70.2918273672393,385.6166532582462,24.1,37.3,15.0
H2S-2026-0062,images/train/H2S-2026-0062_30ppm_daylight.png,train,30.0,daylight,card_warp,177.27272727272728,184.77239206221506,175.9898766425315,77.89959937527072,73.19533824155731,54.586449251623776,65.72123893805309,38.908286403861624,190.21419951729686,35.478337763905344,14.345141605354453,67.30467933251462,73.35859900409615,-3.8196567444355054,3.020514883346742,27.108913588103988,2.2458638219968674,10.246321745314628,1.0238017755963313,1.0542131807717823,1.0108412070491903,1.04835585406782,-3.38746720195185,2.7394691317127453,20.88261114436418,39.678536023704325,181.32689729149905,72.66327729357208,513.3608701442838,21.4,59.6,15.0
H2S-2026-0063,images/test/H2S-2026-0063_30ppm_daylight.png,test,30.0,daylight,card_warp,165.9149235720032,175.04250469294718,166.18979619200857,78.06466153729863,73.52632050990694,54.28135393751702,70.16968356127649,41.45749530705283,180.2377312952534,34.51106748890673,12.019008287103679,68.62329153706575,69.51043490606217,-4.497452400107267,2.9104317511397158,27.377417335539928,2.1337501560773715,10.414081481790928,0.8866180591666969,0.9262429078528545,0.884491808188583,0.925336633972012,-4.129260678974365,2.54332935462556,24.507814312095885,37.03400729874105,171.31965674443552,72.62202161447813,332.90267405039515,20.6,36.6,15.0
H2S-2026-0064,images/train/H2S-2026-0064_30ppm_LED.png,train,30.0,LED,card_warp,122.65560471976401,156.84761330115313,180.88026280504155,62.94485546737658,71.79551923714409,59.45911232469362,101.95850093858944,91.67940466613032,180.88026280504155,6.608610066419393,31.0633062726541,59.45911232469362,62.0290358031118,-4.922231161169214,-17.117725931885225,25.926516083375457,6.198133072942249,7.331604997260474,0.6614482830227083,0.7560340038643291,0.8378977442857319,0.7648694364976233,-0.11885425485113554,-10.044196520120515,41.970043550336975,36.732401231746174,149.57669616519175,67.56591254609317,1100.857066237597,20.5,52.8,15.0
H2S-2026-0065,images/train/H2S-2026-0065_30ppm_LED.png,train,30.0,LED,card_warp,145.523598820059,183.548873692679,202.1781979082864,64.58605775093342,72.63586568895904,57.71695829420625,98.63710109949048,80.87188254223652,202.1781979082864,7.13621926411884,34.004690816939544,57.71695829420625,71.62341793783752,-7.695494770716009,-14.121815500134085,26.05195945088904,6.2449708231905685,8.152449552815387,0.942820994172692,1.0483498611766824,1.089453588379959,1.0396963883294321,-3.8316603480580502,-5.777861251768067,33.799171465936446,44.26759138722069,174.24691606328776,68.54679438253801,467.5106892870208,20.6,51.4,15.0
H2S-2026-0066,images/test/H2S-2026-0066_30ppm_LED.png,test,30.0,LED,card_warp,134.86826226870474,172.85659694288012,192.9034593724859,63.97948399427535,73.25252422247918,60.00670214953476,99.80886296594261,86.04759989273263,192.9034593724859,6.7656935366321305,31.79602609890304,60.00670214953476,67.71276008392093,-7.121614373826763,-14.941204076159828,26.30704898907181,6.453223979288361,7.2923908699465585,0.8061981862693987,0.921002919408008,0.9799585832532335,0.9189075756705942,-3.02738779430607,-7.637282507532383,36.785495271320166,41.49487938975078,163.85478680611425,68.931938844254,708.8952089868995,20.8,58.1,15.0
H2S-2026-0067,images/holdout/H2S-2026-0067_30ppm_fluorescent.png,holdout,30.0,fluorescent,card_warp,112.22975328506303,156.01086082059533,189.193818718155,56.687604958047075,71.65568849567468,53.44605445492561,102.5384151246983,112.22003218020917,189.193818718155,7.311476980596668,32.648316454843915,53.44605445492561,61.60677572181997,-4.813019576293913,-22.299410029498524,25.227986697076823,9.99087647495876,9.645127361457472,0.6619352598264504,0.7519691176539959,0.8584406434020633,0.7676896631717516,3.6654662624860475,-11.430673646056256,45.98626674002377,38.99838995713459,146.88817377312952,64.92464714194969,1182.8771322813493,23.3,53.8,15.0
H2S-2026-0068,images/holdout/H2S-2026-0068_30ppm_fluorescent.png,holdout,30.0,fluorescent,card_warp,133.87744703673908,184.21339501206756,207.53016894609814,58.96515621026384,73.00725936367637,52.399091126369456,98.65721373022258,98.76407884151247,207.53016894609814,7.9559339369078295,34.939196306613226,52.399091126369456,71.49080603010846,-9.648096004290695,-17.585210512201662,25.485876624387167,9.948040984901679,10.482393702357665,0.9225355673427562,1.057990610043422,1.0933343764321402,1.0461660418170593,-4.646462017362596,-5.874426198476179,37.02298317053006,46.12932344241336,172.0113301153124,66.24824465522691,442.9615927454224,22.9,55.2,15.0
H2S-2026-0069,images/holdout/H2S-2026-0069_30ppm_fluorescent.png,holdout,30.0,fluorescent,card_warp,125.94958433896487,173.5939259855189,199.0246044515956,59.356144781023524,73.72340979019279,54.82918816326948,99.92129257173505,102.53197908286404,199.0246044515956,7.702602698217761,34.10769991485912,54.82918816326948,67.59647489996267,-8.215272190935908,-18.504759989273264,26.010500167973518,9.712872254692142,9.784732684175644,0.8030429222435815,0.9262069070909071,0.9948778249726838,0.9254305186553516,-2.36314800792937,-8.443213148314666,39.72571676006126,43.34335254756632,162.3864977205685,67.05910548435278,747.0201095519013,20.7,50.8,15.0
H2S-2026-0070,images/train/H2S-2026-0070_30ppm_dim_indoor.png,train,30.0,dim_indoor,card_warp,165.25623491552696,158.99711718959506,128.46835612764815,71.53872000569055,71.9400388695106,43.8077084165877,23.068114776079376,49.3547197640118,165.52420219898096,15.540591222844704,20.57919736094071,71.27912561090659,64.27026643320241,-2.532381335478681,16.16733708769107,26.211151675022066,4.767702189279297,13.777749556897263,0.7781321299413022,0.7620286758155494,0.6730813624699997,0.7764093091207084,-1.2483399411431635,6.8890146476039185,28.082966628284662,43.042081094743764,157.32656208098686,68.65943402918738,893.2986055242692,20.4,46.1,15.0
